customer_id,signup_date,age,city,acquisition_channel,employment_type,monthly_income,active_lending_relationships,kyc_status,primary_product,total_transactions,total_transaction_amount,last_transaction_date,total_tickets,high_risk_tickets,days_since_last_transaction,churn,churn_probability,annual_revenue
CUST100000,2025-10-17,34.0,Mumbai,Paid Social,Student,51543.0,3,Verified,Savings Account,11,24037.55,2024-05-28,1,1,125.0,1,0.98,10200
CUST100001,,22.0,Mumbai,Referral,Self-Employed,62972.0,0,Verified,Fixed Deposit,18,40047.54,2025-09-29,0,0,-364.0,0,0.0,10200
CUST100002,2022-07-29,43.0,Mumbai,Affiliate,Self-Employed,74185.0,0,Verified,Personal Loan,30,91431.81,,1,1,,1,0.7,10200
CUST100003,,26.0,Kolkata,In-App Promo,Student,41870.0,0,Pending,Credit Card,42,100207.47,2025-06-26,1,0,-269.0,0,0.0,10200
CUST100004,2023-08-16,32.0,Kolkata,In-App Promo,Self-Employed,12000.0,1,Verified,Salary Account,26,56374.32,2024-02-27,1,0,216.0,1,0.98,10200
CUST100005,,37.0,Bengaluru,Referral,Gig Worker,16903.0,0,Verified,Salary Account,6,21444.0,,0,0,,1,0.94,10200
CUST100006,,23.0,Kolkata,Paid Social,Self-Employed,19692.0,1,Verified,Credit Card,36,90049.94,2024-10-26,0,0,-26.0,0,0.03,10200
CUST100007,,25.0,Mumbai,Organic,Student,69943.0,1,Pending,Savings Account,52,168781.58,2024-09-29,0,0,1.0,0,0.02,10200
CUST100008,,26.0,Pune,In-App Promo,Gig Worker,57773.0,2,Verified,Personal Loan,26,78714.92,,3,2,,1,0.41,10200
CUST100009,,26.0,Pune,Affiliate,,78685.0,0,Verified,Salary Account,3,4118.95,,3,2,,1,0.98,10200
CUST100010,,26.0,Mumbai,Paid Social,Self-Employed,54863.0,0,Pending,Credit Card,22,58412.42,2025-05-29,0,0,-241.0,0,0.0,10200
CUST100011,2023-11-28,26.0,Mumbai,Referral,Salaried,54861.0,4,Verified,Fixed Deposit,25,60977.38,2024-02-29,1,0,214.0,1,0.99,10200
CUST100012,,37.0,Mumbai,Paid Social,Student,24478.0,1,,Savings Account,10,24321.7,,3,1,,1,0.96,10200
CUST100013,,53.0,Mumbai,Organic,Student,84840.0,0,Verified,Bnpl,10,19271.67,2024-09-30,4,2,0.0,0,0.16,10200
CUST100014,2024-09-22,36.0,Bengaluru,In-App Promo,Self-Employed,59284.0,0,Verified,Savings Account,14,36073.92,2025-05-28,1,1,-240.0,0,0.03,10200
CUST100015,,22.0,Mumbai,Google Ads,Gig Worker,15417.0,0,Incomplete,Bnpl,5,9159.21,2024-10-23,3,3,-23.0,0,0.42,10200
CUST100016,2024-07-13,27.0,Pune,Organic,Student,81428.0,0,Verified,Bnpl,23,61421.11,2024-07-26,1,0,66.0,0,0.04,10200
CUST100017,2025-07-16,21.0,Mumbai,In-App Promo,,54863.0,3,Verified,Fixed Deposit,6,19576.75,2025-10-25,0,0,-390.0,0,0.09,10200
CUST100018,,25.0,Mumbai,In-App Promo,,70291.0,0,Verified,Salary Account,23,58790.62,2024-06-29,1,0,93.0,1,0.98,10200
CUST100019,2022-04-21,35.0,Pune,Referral,Salaried,77193.0,2,Verified,Credit Card,26,61564.4,2025-10-31,0,0,-396.0,0,0.02,10200
CUST100020,,24.0,Pune,Paid Social,Self-Employed,47269.0,4,Verified,Personal Loan,11,45469.83,2024-12-30,1,1,-91.0,0,0.07,10200
CUST100021,,18.0,Ahmedabad,Paid Social,Salaried,82491.0,0,Verified,Savings Account,5,13160.15,2025-11-27,3,1,-423.0,0,0.04,10200
CUST100022,,22.0,Hyderabad,Organic,Salaried,25094.0,2,Verified,Credit Card,3,5386.04,,1,0,,1,1.0,10200
CUST100023,,37.0,Mumbai,Paid Social,Self-Employed,62414.0,1,Verified,Bnpl,38,100910.12,2024-10-27,1,0,-27.0,0,0.0,10200
CUST100024,2022-05-21,33.0,Ahmedabad,Paid Social,,54863.0,3,Verified,Salary Account,40,111236.8,2025-01-24,1,1,-116.0,0,0.0,10200
CUST100025,,42.0,Mumbai,Referral,,63454.0,1,Verified,Credit Card,11,39847.32,2025-04-25,2,2,-207.0,0,0.0,10200
CUST100026,2022-05-29,18.0,Pune,In-App Promo,Student,75547.0,0,Verified,Personal Loan,26,60578.39,2025-08-31,0,0,-335.0,0,0.0,10200
CUST100027,,19.0,Mumbai,Paid Social,,81062.0,1,Verified,Savings Account,17,58099.6,2025-07-25,1,0,-298.0,0,0.01,10200
CUST100028,,29.0,Kolkata,Affiliate,,63927.0,1,Verified,Fixed Deposit,25,76984.89,2025-09-22,1,1,-357.0,0,0.01,10200
CUST100029,,24.0,Bengaluru,Google Ads,Student,73592.0,0,Verified,Fixed Deposit,40,90821.18,2024-10-29,1,1,-29.0,0,0.08,10200
CUST100030,,24.0,Mumbai,Paid Social,Gig Worker,42456.0,5,Pending,Personal Loan,3,10396.01,,0,0,,1,0.91,10200
CUST100031,2025-01-22,35.0,Ahmedabad,Referral,Salaried,83954.0,4,Verified,Salary Account,29,489589.89,2024-01-31,2,1,243.0,1,0.94,10200
