ticket_id,customer_id,ticket_date,issue_type,resolution_status
TKT9001,CUST100000,24-07-2024,Complaint - Hidden Charges,Resolved
TKT9002,CUST100002,09-03-2024,Complaint - Poor Service,Pending
TKT9003,CUST100003,25 Sep 2024,Loan Inquiry,Resolved
TKT9004,CUST100004,2025-04-03,App Login Issue,Pending
TKT9005,CUST100008,24-06-2024,Account Closure Request,Unresolved
TKT9006,CUST100008,29-08-2024,Account Closure Request,Unresolved
TKT9007,CUST100008,07-01-2025,Failed transaction ,Pending
TKT9008,CUST100009,16-07-2025,Complaint - Poor Service,Unresolved
TKT9009,CUST100009,22 Sep 2025,Failed transaction ,
TKT9010,CUST100009,29 Aug 2025,Account Closure Request,Pending
TKT9011,CUST100011,13 Nov 2024,Card Block Request,Resolved
TKT9012,CUST100012,11 Jul 2025,KYC Query,Resolved
TKT9013,CUST100012,15-02-2024,Complaint - Poor Service,Resolved
TKT9014,CUST100012,16-07-2025,Failed transaction ,Resolved
TKT9015,CUST100013,18 May 2025,Failed Transaction,Resolved
TKT9016,CUST100013,02-11-2024,Account Closure Request,Unresolved
TKT9017,CUST100013,2024-11-01,app login issue,Resolved
TKT9018,CUST100013,2025-09-27,Complaint - Hidden Charges,Resolved
TKT9019,CUST100014,2025-10-28,Account Closure Request,Resolved
TKT9020,CUST100015,11 Jul 2025,Complaint - Hidden Charges,Resolved
TKT9021,CUST100015,15 Jan 2025,Complaint - Hidden Charges,Resolved
TKT9022,CUST100015,20-03-2024,Complaint - Poor Service,Unresolved
TKT9023,CUST100016,25 Sep 2025,app login issue,Resolved
TKT9024,CUST100018 ,22-06-2024,Loan Inquiry,Unresolved
TKT9025,CUST100020,26 May 2024,Account Closure Request,Resolved
TKT9026,CUST100021,2025-11-21,Failed Transaction,Resolved
TKT9027,CUST100021,01 Sep 2025,Account Closure Request,Unresolved
TKT9028,CUST100021,26-08-2025,Failed Transaction,Unresolved
TKT9029,CUST100022,2024-04-27,Card Block Request,Resolved
TKT9030,CUST100023,2025-04-30,Failed transaction ,Pending
TKT9031,CUST100024,27-11-2024,Complaint - Hidden Charges,Resolved
TKT9032,CUST100025,2024-07-26,Complaint - Hidden Charges,Resolved
TKT9033,CUST100025,13 Oct 2024,Complaint - Poor Service,Resolved
TKT9034,CUST100027,17 Mar 2025,App Login Issue,Resolved
TKT9035,CUST100028,11-07-2025,Account Closure Request,Resolved
TKT9036,CUST100029,2024-03-18,Complaint - Poor Service,Resolved
TKT9037,CUST100031,14 Apr 2025,Loan Inquiry,Unresolved
TKT9038,CUST100031,2024-08-24,Account Closure Request,Unresolved
TKT9039,CUST100032,23-07-2024,Complaint - Poor Service,Unresolved
TKT9040,CUST100032,19 May 2025,App Login Issue,
TKT9041,CUST100033,08-07-2024,Failed Transaction,Resolved
TKT9042,CUST100033,2025-02-16,Account Closure Request,Resolved
TKT9043,CUST100033,05 Sep 2025,Account Closure Request,Unresolved
TKT9044,CUST100034,24 Sep 2025,Loan Inquiry,Resolved
TKT9045,CUST100037,13-10-2024,Failed transaction ,Pending
TKT9046,CUST100038,2025-09-08,Complaint - Poor Service,Resolved
TKT9047,CUST100040,20-11-2024,Complaint - Hidden Charges,Resolved
TKT9048,CUST100041,26 Nov 2024,KYC Query,Unresolved
TKT9049,CUST100042,28-07-2024,Complaint - Hidden Charges,Pending
TKT9050,CUST100044 ,2025-05-15,Failed Transaction,Resolved
TKT9051,CUST100045,20 Dec 2024,Failed transaction ,Resolved
TKT9052,CUST100048,2025-06-03,app login issue,
TKT9053,CUST100049,2024-04-08,Complaint - Poor Service,Resolved
TKT9054,CUST100049,05-11-2025,app login issue,
TKT9055,CUST100049,2024-05-29,KYC Query,Resolved
TKT9056,CUST100049,2024-09-02,Card Block Request,Resolved
TKT9057,CUST100049,2024-01-06,Failed Transaction,Resolved
TKT9058,CUST100051,2025-01-30,Card Block Request,Resolved
TKT9059,CUST100051,02 May 2024,Loan Inquiry,
TKT9060,CUST100051,2024-08-22,Complaint - Hidden Charges,Resolved
TKT9061,CUST100052,12-03-2024,Failed Transaction,Unresolved
TKT9062,CUST100052,23 Jun 2024,Complaint - Hidden Charges,Resolved
TKT9063,CUST100052,29 Sep 2024,Failed Transaction,Pending
TKT9064,CUST100054,20 Mar 2024,Failed transaction ,Unresolved
TKT9065,CUST100055,2024-11-18,Card Block Request,Resolved
TKT9066,CUST100057,2024-02-27,Complaint - Hidden Charges,Resolved
TKT9067,CUST100057,2024-12-30,Complaint - Hidden Charges,Pending
TKT9068,CUST100060,14 Jan 2024,Account Closure Request,Unresolved
TKT9069,CUST100063,12 Mar 2025,Complaint - Hidden Charges,Resolved
TKT9070,CUST100064,2024-01-09,Complaint - Poor Service,Pending
TKT9071,CUST100064,03-06-2024,app login issue,Unresolved
TKT9072,CUST100065,24 Dec 2024,Failed transaction ,Resolved
TKT9073,CUST100067,2024-01-25,Complaint - Poor Service,Resolved
TKT9074,CUST100067,27-11-2025,Failed Transaction,Resolved
TKT9075,CUST100067,12 Sep 2025,KYC Query,Resolved
TKT9076,CUST100072,27 Feb 2025,Card Block Request,Resolved
TKT9077,CUST100073,2024-03-20,Loan Inquiry,Resolved
TKT9078,CUST100075,29-11-2024,Loan Inquiry,Resolved
TKT9079,CUST100075,19-02-2024,Complaint - Hidden Charges,Resolved
TKT9080,CUST100076,05 Jul 2025,Account Closure Request,Resolved
TKT9081,CUST100077,03 Jul 2025,Card Block Request,Resolved
TKT9082,CUST100077,23-12-2024,Failed Transaction,Resolved
TKT9083,CUST100079,22-02-2024,Failed Transaction,Resolved
TKT9084,CUST100080,2025-09-01,KYC Query,Unresolved
TKT9085,CUST100081,02 Dec 2024,Loan Inquiry,
TKT9086,CUST100082,13-06-2024,Loan Inquiry,Resolved
TKT9087,CUST100083,2024-10-09,Complaint - Poor Service,Resolved
TKT9088,CUST100084,14-09-2024,Account Closure Request,Unresolved
TKT9089,CUST100084,25-10-2024,Complaint - Poor Service,Resolved
TKT9090,CUST100084,25 Oct 2025,Account Closure Request,Resolved
TKT9091,CUST100086,2024-08-25,KYC Query,Resolved
TKT9092,CUST100087,29 Oct 2024,Failed transaction ,Resolved
TKT9093,CUST100089,23-05-2024,Complaint - Hidden Charges,
TKT9094,CUST100089,2024-03-25,KYC Query,Unresolved
TKT9095,CUST100090,04-01-2025,Card Block Request,Resolved
TKT9096,CUST100091,07-01-2024,app login issue,Resolved
TKT9097,CUST100093,03-04-2025,Account Closure Request,Resolved
TKT9098,CUST100093,02-07-2025,Failed Transaction,Resolved
TKT9099,CUST100093,28-03-2025,Account Closure Request,Resolved
TKT9100,CUST100093,22-01-2024,Account Closure Request,Pending
TKT9101,CUST100093,28 Aug 2024,Complaint - Hidden Charges,Resolved
TKT9102,CUST100094,04-07-2025,Failed transaction ,Resolved
TKT9103,CUST100096,18-08-2024,Account Closure Request,
TKT9104,CUST100097,03-07-2025,Failed transaction ,Resolved
TKT9105,CUST100097,22 Oct 2025,Card Block Request,Resolved
TKT9106,CUST100097,2024-07-30,Failed Transaction,Resolved
TKT9107,CUST100097,02-11-2025,Account Closure Request,Pending
TKT9108,CUST100097,05 Nov 2024,Complaint - Poor Service,Resolved
TKT9109,CUST100098,2024-08-30,app login issue,Unresolved
TKT9110,CUST100098,19 Jul 2024,Loan Inquiry,Resolved
TKT9111,CUST100099,10 Oct 2024,Card Block Request,
TKT9112,CUST100099,01 Apr 2025,KYC Query,Resolved
TKT9113,CUST100100,19 Aug 2024,KYC Query,Resolved
TKT9114,CUST100101,18-08-2024,Failed transaction ,Resolved
TKT9115,CUST100101,10-09-2024,Loan Inquiry,Resolved
TKT9116,CUST100101,06 Aug 2024,Complaint - Hidden Charges,Resolved
TKT9117,CUST100102,23-10-2024,Complaint - Hidden Charges,Pending
TKT9118,CUST100103,18-08-2024,Complaint - Poor Service,Resolved
TKT9119,CUST100104,03 Mar 2024,Loan Inquiry,Unresolved
TKT9120,CUST100104,24-09-2024,KYC Query,
TKT9121,CUST100105,05 Mar 2025,KYC Query,Resolved
TKT9122,CUST100105,2025-02-14,Failed transaction ,Unresolved
TKT9123,CUST100106,15 Mar 2025,App Login Issue,Pending
TKT9124,CUST100106,04-01-2025,app login issue,Resolved
TKT9125,CUST100107,11 Jul 2025,Account Closure Request,Resolved
TKT9126,CUST100107,2025-10-10,Loan Inquiry,Pending
TKT9127,CUST100108,03-04-2024,App Login Issue,Resolved
TKT9128,CUST100110,13 Apr 2024,Failed transaction ,Resolved
TKT9129,CUST100110,05-07-2025,Loan Inquiry,Resolved
TKT9130,CUST100111,12 Feb 2024,KYC Query,Resolved
TKT9131,CUST100112,18 Mar 2024,Account Closure Request,Resolved
TKT9132,CUST100112,29-04-2024,Failed Transaction,Resolved
TKT9133,CUST100113,13 Aug 2024,Complaint - Poor Service,Resolved
TKT9134,CUST100116,04 Apr 2024,Complaint - Hidden Charges,Resolved
TKT9135,CUST100116,13-02-2025,Complaint - Poor Service,
TKT9136,CUST100118,2024-07-01,Failed Transaction,Resolved
TKT9137,CUST100119,2024-09-11,Card Block Request,Resolved
TKT9138,CUST100120,2025-01-20,app login issue,Resolved
TKT9139,CUST100121,2025-08-20,Failed Transaction,Resolved
TKT9140,CUST100121,28 Nov 2024,app login issue,Resolved
TKT9141,CUST100122,25-04-2025,Complaint - Hidden Charges,Resolved
TKT9142,CUST100122,2024-11-30,Complaint - Hidden Charges,Resolved
TKT9143,CUST100124,2024-09-09,Card Block Request,Resolved
TKT9144,CUST100125,2024-04-16,App Login Issue,Resolved
TKT9145,CUST100126,16 May 2024,Account Closure Request,Resolved
TKT9146,CUST100126,18-02-2024,Card Block Request,Resolved
TKT9147,CUST100126,2025-02-09,Account Closure Request,Resolved
TKT9148,CUST100128,2025-06-17,App Login Issue,Resolved
TKT9149,CUST100130,2024-09-13,Account Closure Request,Pending
TKT9150,CUST100130,22-01-2024,KYC Query,Resolved
TKT9151,CUST100131,26 Jan 2025,Account Closure Request,Resolved
TKT9152,CUST100132,25 Oct 2024,Account Closure Request,
TKT9153,CUST100133,2024-02-01,Account Closure Request,Unresolved
TKT9154,CUST100133,11 Feb 2025,Failed Transaction,Resolved
TKT9155,CUST100133,05-03-2024,Complaint - Hidden Charges,Resolved
TKT9156,CUST100133,06-10-2024,Complaint - Hidden Charges,Resolved
TKT9157,CUST100133,2025-03-31,Complaint - Poor Service,Unresolved
TKT9158,CUST100133,2024-05-05,Loan Inquiry,Resolved
TKT9159,CUST100134,2025-04-13,Complaint - Hidden Charges,Unresolved
TKT9160,CUST100134,06-06-2024,Failed transaction ,Pending
TKT9161,CUST100134,24 Feb 2024,Failed transaction ,Resolved
TKT9162,CUST100136,2025-09-27,Card Block Request,Resolved
TKT9163,CUST100141,2025-04-10,Failed Transaction,
TKT9164,CUST100142,11-01-2024,App Login Issue,Resolved
TKT9165,CUST100143,05-08-2025,KYC Query,Resolved
TKT9166,CUST100144,2025-08-25,App Login Issue,Resolved
TKT9167,CUST100144,26-08-2025,Failed Transaction,Pending
TKT9168,CUST100144,27-10-2025,Complaint - Hidden Charges,Pending
TKT9169,CUST100144,2024-04-15,Account Closure Request,Resolved
TKT9170,CUST100144,03 Oct 2025,Card Block Request,
TKT9171,CUST100145,14-07-2024,Card Block Request,Resolved
TKT9172,CUST100145,30-07-2024,app login issue,Resolved
TKT9173,CUST100145,2025-06-22,Complaint - Hidden Charges,Unresolved
TKT9174,CUST100146,2024-07-26,app login issue,Resolved
TKT9175,CUST100148,16-01-2025,App Login Issue,Resolved
TKT9176,CUST100148,2024-01-16,Card Block Request,Resolved
TKT9177,CUST100152,2024-04-21,App Login Issue,Pending
TKT9178,CUST100153,16-11-2025,Card Block Request,Resolved
TKT9179,CUST100154,28-02-2025,app login issue,Pending
TKT9180,CUST100154,20-06-2024,Complaint - Poor Service,Resolved
TKT9181,CUST100156,21 Aug 2024,app login issue,Resolved
TKT9182,CUST100157,20-04-2025,Complaint - Hidden Charges,Resolved
TKT9183,CUST100159,30 Mar 2024,App Login Issue,Resolved
TKT9184,CUST100160,2025-09-22,Account Closure Request,Resolved
TKT9185,CUST100161,21 Jul 2024,App Login Issue,Resolved
TKT9186,CUST100162,2024-03-16,Loan Inquiry,Resolved
TKT9187,CUST100162,13-09-2025,App Login Issue,Resolved
TKT9188,CUST100162,11-03-2024,Card Block Request,Pending
TKT9189,CUST100166,2024-08-03,Failed Transaction,Resolved
TKT9190,CUST100167,06-04-2024,Complaint - Hidden Charges,Resolved
TKT9191,CUST100167,2024-10-21,App Login Issue,Resolved
TKT9192,CUST100169,2024-03-20,Account Closure Request,Resolved
TKT9193,CUST100169,16-02-2025,Failed transaction ,Resolved
TKT9194,CUST100169,2024-04-04,Complaint - Hidden Charges,Unresolved
TKT9195,CUST100170,2024-11-17,Complaint - Hidden Charges,Resolved
TKT9196,CUST100170,15 Mar 2024,app login issue,Resolved
TKT9197,CUST100171,2024-08-07,Complaint - Hidden Charges,Resolved
TKT9198,CUST100174,02 Oct 2024,KYC Query,Resolved
TKT9199,CUST100175,06 Dec 2024,Loan Inquiry,Pending
TKT9200,CUST100176,2024-04-15,Loan Inquiry,Unresolved
TKT9201,CUST100177,09-04-2025,Complaint - Poor Service,Resolved
TKT9202,CUST100177,2024-08-09,Complaint - Hidden Charges,
TKT9203,CUST100178,19-10-2024,Failed transaction ,Unresolved
TKT9204,CUST100179,06 Sep 2025,Complaint - Poor Service,Unresolved
TKT9205,CUST100179,22-02-2025,Failed transaction ,Resolved
TKT9206,CUST100179,01 Jul 2025,App Login Issue,Resolved
TKT9207,CUST100179,21 Mar 2024,Account Closure Request,Unresolved
TKT9208,CUST100179,11-07-2025,Complaint - Poor Service,Resolved
TKT9209,CUST100180,17-01-2025,Account Closure Request,Resolved
TKT9210,CUST100180,24 Jun 2024,Failed transaction ,Resolved
TKT9211,CUST100183,2024-03-30,Account Closure Request,Resolved
TKT9212,CUST100185,10-01-2025,app login issue,Resolved
TKT9213,CUST100185,03 Jun 2024,Failed transaction ,Pending
TKT9214,CUST100186,08-11-2025,Failed transaction ,Resolved
TKT9215,CUST100186,14-09-2024,App Login Issue,Resolved
TKT9216,CUST100186,2025-11-25,Complaint - Hidden Charges,Resolved
TKT9217,CUST100186,21-10-2025,Loan Inquiry,Resolved
TKT9218,CUST100188,2024-10-26,App Login Issue,Pending
TKT9219,CUST100189,20-03-2024,Failed Transaction,Unresolved
TKT9220,CUST100191,28 Sep 2025,Complaint - Poor Service,Resolved
TKT9221,CUST100191,30-01-2025,Complaint - Hidden Charges,Resolved
TKT9222,CUST100191,2024-02-02,Account Closure Request,Resolved
TKT9223,CUST100191,2024-06-05,app login issue,Resolved
TKT9224,CUST100192,04 Mar 2025,Account Closure Request,
TKT9225,CUST100192,18-02-2024,Complaint - Hidden Charges,Resolved
TKT9226,CUST100192,19 Feb 2025,Complaint - Hidden Charges,Pending
TKT9227,CUST100193,2025-07-02,Card Block Request,Resolved
TKT9228,CUST100194,2024-08-28,Card Block Request,Unresolved
TKT9229,CUST100196,24-11-2025,Failed transaction ,Resolved
TKT9230,CUST100196,25 Jan 2025,Card Block Request,Unresolved
TKT9231,CUST100196,2024-04-03,Complaint - Poor Service,
TKT9232,CUST100197,04 Feb 2025,Complaint - Hidden Charges,Unresolved
TKT9233,CUST100197,23 Jun 2024,app login issue,Resolved
TKT9234,CUST100197,2024-06-10,Complaint - Hidden Charges,Resolved
TKT9235,CUST100198,10-01-2024,Complaint - Hidden Charges,Pending
TKT9236,CUST100199,26-04-2024,Complaint - Hidden Charges,Resolved
TKT9237,CUST100199,2025-08-02,Complaint - Hidden Charges,Resolved
TKT9238,CUST100201,22-07-2024,KYC Query,Unresolved
TKT9239,CUST100201,24 Aug 2025,Account Closure Request,Resolved
TKT9240,CUST100201,2024-04-01,Loan Inquiry,Resolved
TKT9241,CUST100202,20 Mar 2024,App Login Issue,Pending
TKT9242,CUST100204,2024-05-17,KYC Query,Resolved
TKT9243,CUST100204,30-10-2025,Account Closure Request,Pending
TKT9244,CUST100204,2024-03-08,Account Closure Request,Resolved
TKT9245,CUST100204,11 Mar 2025,Complaint - Hidden Charges,Unresolved
TKT9246,CUST100205,25-07-2024,App Login Issue,Resolved
TKT9247,CUST100207,30 Jul 2024,App Login Issue,Unresolved
TKT9248,CUST100208,07 Jul 2024,app login issue,Resolved
TKT9249,CUST100208,15-03-2024,Complaint - Hidden Charges,Resolved
TKT9250,CUST100208,27 Jul 2025,Complaint - Poor Service,Unresolved
TKT9251,CUST100208,01-05-2024,Account Closure Request,Pending
TKT9252,CUST100208,2024-12-22,Loan Inquiry,Resolved
TKT9253,CUST100209,14 Nov 2024,Complaint - Poor Service,Unresolved
TKT9254,CUST100210,2025-07-22,app login issue,Unresolved
TKT9255,CUST100211,12 Jun 2024,Card Block Request,Pending
TKT9256,CUST100211,18-09-2024,Account Closure Request,Resolved
TKT9257,CUST100212,05 Apr 2024,Account Closure Request,Resolved
TKT9258,CUST100214,01 Jan 2025,Complaint - Poor Service,Unresolved
TKT9259,CUST100216,25 Jul 2025,Complaint - Hidden Charges,Unresolved
TKT9260,CUST100217,2024-07-05,Failed transaction ,Resolved
TKT9261,CUST100217,03 Jul 2024,Complaint - Poor Service,Resolved
TKT9262,CUST100220,2025-11-30,Complaint - Hidden Charges,Pending
TKT9263,CUST100221,2024-11-07,Account Closure Request,
TKT9264,CUST100222,2025-10-25,Loan Inquiry,Resolved
TKT9265,CUST100222,21-05-2024,Card Block Request,Pending
TKT9266,CUST100222,07-08-2025,Complaint - Poor Service,
TKT9267,CUST100222,25 Nov 2025,Complaint - Poor Service,Resolved
TKT9268,CUST100223,22-08-2025,Complaint - Poor Service,Resolved
TKT9269,CUST100223,2024-08-23,Complaint - Poor Service,Resolved
TKT9270,CUST100223,2024-05-06,App Login Issue,Unresolved
TKT9271,CUST100225,2025-01-21,Card Block Request,
TKT9272,CUST100228,24-03-2025,Card Block Request,Resolved
TKT9273,CUST100229,16 Jul 2024,Account Closure Request,Resolved
TKT9274,CUST100229,13 Mar 2024,Complaint - Poor Service,
TKT9275,CUST100230,2025-03-30,KYC Query,Resolved
TKT9276,CUST100232,05 Mar 2024,Failed Transaction,Resolved
TKT9277,CUST100233,2025-01-19,Complaint - Poor Service,Resolved
