customer_id_clean,will_churn,churn_probability_latent
CUST100000,1,0.42
CUST100001,0,0.12
CUST100002,0,0.12
CUST100003,0,0.35000000000000003
CUST100004,0,0.12
CUST100005,0,0.2
CUST100006,0,0.22
CUST100007,0,0.35000000000000003
CUST100008,0,0.2
CUST100009,0,0.2
CUST100010,0,0.37
CUST100011,0,0.24
CUST100012,1,0.45
CUST100013,0,0.2
CUST100014,0,0.12
CUST100015,1,0.35000000000000003
CUST100016,1,0.2
CUST100017,0,0.32
CUST100018,0,0.2
CUST100019,0,0.12
CUST100020,1,0.33999999999999997
CUST100021,0,0.22
CUST100022,0,0.12
CUST100023,0,0.22
CUST100024,0,0.42
CUST100025,1,0.2
CUST100026,0,0.2
CUST100027,0,0.3
CUST100028,0,0.2
CUST100029,0,0.2
CUST100030,0,0.7499999999999999
CUST100031,0,0.24
CUST100032,0,0.24
CUST100033,1,0.57
CUST100034,0,0.12
CUST100035,0,0.32
CUST100036,0,0.35000000000000003
CUST100037,0,0.27
CUST100038,1,0.35000000000000003
CUST100039,0,0.5
CUST100040,0,0.2
CUST100041,0,0.2
CUST100042,0,0.12
CUST100043,0,0.35000000000000003
CUST100044,0,0.12
CUST100045,0,0.45
CUST100046,0,0.2
CUST100047,1,0.3
CUST100048,0,0.3
CUST100049,1,0.3
CUST100050,0,0.2
CUST100051,0,0.2
CUST100052,0,0.42
CUST100053,0,0.2
CUST100054,0,0.2
CUST100055,0,0.42
CUST100056,0,0.2
CUST100057,1,0.32
CUST100058,0,0.12
CUST100059,0,0.22
CUST100060,0,0.45
CUST100061,0,0.2
CUST100062,0,0.12
CUST100063,0,0.57
CUST100064,0,0.3
CUST100065,0,0.22
CUST100066,0,0.5
CUST100067,0,0.45
CUST100068,0,0.12
CUST100069,0,0.12
CUST100070,0,0.42
CUST100071,0,0.57
CUST100072,1,0.32
CUST100073,0,0.12
CUST100074,0,0.3
CUST100075,1,0.6699999999999999
CUST100076,0,0.24
CUST100077,0,0.35000000000000003
CUST100078,0,0.24
CUST100079,0,0.57
CUST100080,0,0.32
CUST100081,0,0.24
CUST100082,0,0.22
CUST100083,0,0.35000000000000003
CUST100084,0,0.2
CUST100085,0,0.35000000000000003
CUST100086,0,0.2
CUST100087,0,0.3
CUST100088,1,0.2
CUST100089,0,0.12
CUST100090,1,0.24
CUST100091,0,0.3
CUST100092,0,0.12
CUST100093,1,0.35000000000000003
CUST100094,0,0.12
CUST100095,0,0.2
CUST100096,0,0.2
CUST100097,1,0.35000000000000003
CUST100098,0,0.22
CUST100099,0,0.2
CUST100100,1,0.35000000000000003
CUST100101,1,0.49
CUST100102,0,0.12
CUST100103,0,0.45
CUST100104,1,0.2
CUST100105,0,0.2
CUST100106,1,0.6
CUST100107,1,0.2
CUST100108,0,0.22
CUST100109,0,0.33999999999999997
CUST100110,0,0.35000000000000003
CUST100111,0,0.24
CUST100112,0,0.3
CUST100113,1,0.5
CUST100114,0,0.24
CUST100115,0,0.39
CUST100116,1,0.2
CUST100117,0,0.37
CUST100118,0,0.42
CUST100119,0,0.3
CUST100120,1,0.35000000000000003
CUST100121,0,0.24
CUST100122,0,0.12
CUST100123,0,0.32
CUST100124,0,0.12
CUST100125,0,0.3
CUST100126,0,0.12
CUST100127,0,0.3
CUST100128,0,0.47000000000000003
CUST100129,0,0.27
CUST100130,1,0.2
CUST100131,0,0.3
CUST100132,0,0.32
CUST100133,1,0.3
CUST100134,1,0.45
CUST100135,0,0.42
CUST100136,0,0.5
CUST100137,0,0.22
CUST100138,0,0.2
CUST100139,0,0.2
CUST100140,0,0.2
CUST100141,0,0.3
CUST100142,0,0.12
CUST100143,0,0.2
